entropy,file_length,max_line_length,nb_lines,eval_count,exec_count,obfuscation_count,fs_count,network_input_count,special_char_ratio,avg_var_length,long_vars_count,whitespace_ratio,label
6.01,44342,44223,7,1,0,2,0,0,0.03195615894637139,6.666666666666667,0,0.0007442154165351135,1
5.273,3916,136,125,0,0,0,1,0,0.25025536261491316,6.431818181818182,0,0.12640449438202248,1
5.701,21788,2793,652,0,6,0,2,13,0.18340370846337434,6.273333333333333,4,0.14797136038186157,1
5.181,1446,134,16,0,0,0,0,1,0.39903181189488246,2.826771653543307,0,0.011756569847856155,1
4.757,7229,2505,165,1,1,1,0,7,0.24927375847281782,6.111111111111111,0,0.055609351224235715,1
5.183,1439,134,16,0,0,0,0,0,0.4009728978457262,2.8492063492063493,1,0.0118137595552467,1
5.998,82439,885,687,1,0,2,0,6,0.018231662198716626,12.777777777777779,30,0.008466866410315506,1
6.006,51543,51454,4,1,0,2,0,0,0.03323438682265293,7.0,0,0.00032982170226800926,1
5.672,604827,83,7566,1,0,0,0,0,8.432163246680456e-05,9.0,0,0.012547389584129015,1
5.766,298771,298708,10,1,0,0,0,0,0.002332890407703559,2.0,0,5.689976604155022e-05,1
5.323,8944,365,234,3,2,0,3,12,0.2809704830053667,7.292307692307692,50,0.14803220035778175,1
5.19,1469,104,19,0,0,0,0,1,0.5119128658951668,2.1774193548387095,0,0.013614703880190605,1
5.414,53543,183,2061,0,1,6,3,81,0.2693722802233719,6.008,37,0.16592271632146124,1
5.769,150,102,6,1,0,1,0,1,0.3333333333333333,3.3333333333333335,0,0.07333333333333333,1
6.01,30504,30425,4,1,0,2,0,0,0.03471675845790716,6.666666666666667,0,0.00032782585890375033,1
6.125,27621,24489,104,1,0,0,0,0,0.05231526736903081,0.0,0,0.017921146953405017,1
4.611,243,86,7,1,0,1,0,0,0.35390946502057613,10.083333333333334,4,0.10699588477366255,1
4.988,102,39,5,0,0,1,0,2,0.3431372549019608,4.5,0,0.11764705882352941,1
5.151,324,64,13,0,0,1,3,2,0.2839506172839506,4.666666666666667,0,0.06790123456790123,1
5.537,107,81,5,0,0,0,0,0,0.2803738317757009,0.0,0,0.1308411214953271,1
4.162,21050,20756,9,1,0,1,1,4,0.25482185273159147,5.964285714285714,0,0.024513064133016627,1
4.268,4746,4452,9,2,0,4,0,0,0.26064053940160137,6.0,0,0.03666245259165613,1
5.749,126885,635,1612,0,0,0,0,0,0.046025928990818456,7.166666666666667,7,0.013390077629349411,1
4.912,94,94,1,1,0,1,0,1,0.46808510638297873,4.666666666666667,0,0.05319148936170213,1
5.801,16239,2793,757,0,3,0,2,19,0.22710758051604163,5.6503067484662575,4,0.1432970010468625,1
5.183,9405,233,341,1,0,0,1,28,0.25656565656565655,7.098181818181819,16,0.2203083466241361,1
5.365,667,161,21,0,0,0,0,4,0.2863568215892054,8.117647058823529,5,0.10344827586206896,1
6.016,27419,27374,9,1,0,0,0,0,0.03439220978153835,0.0,0,0.00047412378277836536,1
5.426,3865,129,133,0,1,0,0,29,0.30323415265200515,5.5227272727272725,0,0.1446313065976714,1
5.869,59110,855,1627,4,8,5,11,177,0.32656064963627135,6.1193111931119315,98,0.15254610049061074,1
5.574,1717,114,60,0,1,0,4,7,0.26557949912638323,5.5,0,0.10483401281304601,1
5.855,1287,111,45,0,0,0,1,9,0.3177933177933178,6.6923076923076925,0,0.08391608391608392,1
6.039,123078,39949,1957,5,7,5,12,353,0.20565007556183884,6.0256,34,0.07860056224508036,1
6.008,23327,23271,7,1,0,2,0,0,0.03240879667338278,5.0,0,0.00034295022934796587,1
5.676,313748,91,3878,1,0,0,0,0,0.00017529992223057995,9.0,0,0.012436732664431327,1
5.216,869,72,36,0,2,0,0,5,0.2819332566168009,6.0588235294117645,0,0.13003452243958574,1
